,startup_id,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage,_source_file,_source_year,_source_month,_country,_continent
0,S1155,Qin1,2019,Noida,Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,"Ishan Gupta, Aarti Gupta",Venture Catalysts,,Undisclosed,apr_2020.csv,2020,4.0,India,Asia
1,S0865,MYSUN,2015,Delhi,Tech,Platform for rooftop solar energy solutions,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,4257000.0,Pre series A,apr_2020.csv,2020,4.0,India,Asia
2,S1280,ShopX,2015,Bangalore,E-commerce,B2B retail operating system,"Amit Sharma, Apoorva Jois",Li and Fung,1410000.0,,apr_2020.csv,2020,4.0,India,Asia
3,S1251,Sarva,2013,,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Mantra Capital, Patni Family",,,apr_2020.csv,2020,4.0,,
4,S0460,Expertrons,2019,Mumbai,AI,AI video bot platform for career hacks,"Vivek Gupta, Jatin Solanki","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",,Seed Round,apr_2020.csv,2020,4.0,India,Asia
5,S0977,NewsBytes,2013,Gurugram,Digital Media,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,1500000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
6,S1558,Wagonfly,2018,Bangalore,,Contactless shopping and delivery experience by using radio frequency to tag retail items,Raghavendra Prasad,Investment Trust of India,500000.0,,apr_2020.csv,2020,4.0,India,Asia
7,S0954,NIRA,2018,,Fintech,It offers access and credit to working Indians,"Rohit Sen, Nupur Gupta",Angel investors,2100000.0,Pre Series A,apr_2020.csv,2020,4.0,,
8,S0300,Convosight,2019,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",4000000.0,Pre series A,apr_2020.csv,2020,4.0,,Asia
9,S0514,Fittr,2016,Pune,Fitness,Fitness Social Network & Consultation Platform,Jitendra Chouksey,"Sequoia Capital Surge, Better Capital",2000000.0,,apr_2020.csv,2020,4.0,India,Asia
10,S0093,AsknBid,2018,Bangalore,Investment Tech,It builds algorithmic investing-based tech products,"Suresh Bavisetti, Paarth Dhar",Ravikanth Reddy & Mumbai Angel Network,,,apr_2020.csv,2020,4.0,India,Asia
11,S0170,Bira91,2015,Bangalore,Beverage,Craft beer maker,Ankur Jain,"Sequoia Capital, Sofina",20000000.0,Series C,apr_2020.csv,2020,4.0,India,Asia
12,S0500,Finaureus Technologies,2017,Pune,Fintech,Provides investment management solutions,"Arindam Ghosh, U R Bhatt",Pinetree Capital,,Pre series A,apr_2020.csv,2020,4.0,India,Asia
13,S0348,Daily Ninja,2014,Haryana,E-commerce,Online Milk Delivery startup,Sagar Yarnalkar,Big Basket,349800.0,,apr_2020.csv,2020,4.0,India,Asia
14,S0620,Guvi Geek Network Pvt Ltd,2014,Chennai,Edtech,Operates vernacular-language based education,"SP Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,786000.0,Pre series A,apr_2020.csv,2020,4.0,India,Asia
15,S0844,LoadShare,2017,Bangalore,Logistics,Provides technology based solutions to SMEs in logistics,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,2004000.0,Series B,apr_2020.csv,2020,4.0,India,Asia
16,S1525,Vedantu,2014,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",KB Global Platform Firm,6800000.0,Series C,apr_2020.csv,2020,4.0,India,Asia
17,S0692,Indusface,2004,,IT,It provides IT security solutions,"Venkatesh Sundar, Nandini Tandon",Tata Capital Growth Fund II,5000000.0,,apr_2020.csv,2020,4.0,,
18,S0345,DMI Group,2008,Delhi,Financial Services,Pan-India Credit providing platform,"Shivashish Chatterjee, Yuvraja Singh",NXC Corporation,123000000.0,,apr_2020.csv,2020,4.0,India,Asia
19,S1335,Spintly,2017,Goa,IoT,It is a wireless cloud-based access control system,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Pre series A,apr_2020.csv,2020,4.0,India,Asia
20,S0160,Bijak,2019,Gurugram,Agritech,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics","Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,12000000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
21,S0208,Bugworks,2014,Bangalore,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,Anand Anandkumar,"University of Tokyo Edge Capital, Global Brain Corporation",7500000.0,,apr_2020.csv,2020,4.0,India,Asia
22,S0390,DrinkPrime,2016,Bangalore,,Water purifier subscription service,"Vijender Reddy, Manas Ranjan Hota, Anil Kejriwal","Abhishek Goyal, Bharat Jaisinghani, FirstCheque",,Seed Round,apr_2020.csv,2020,4.0,India,Asia
23,S1608,Yap,2014,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu",BeeNext,4500000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
24,S1055,Pariksha,2015,Pune,Edtech,Platform for vernacular test-preparation,"Karanvir Singh, Utkarsh Bagri, Vikram Shekhawat, Deepak Choudhary","INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",,Pre series A,apr_2020.csv,2020,4.0,India,Asia
25,S0992,NoBroker,2014,Bangalore,Real Estate,Online real estate rental startup,"Amit Kumar Agarwal, Akhil Gupta, Saurabh Garg",General Atlantic,30000000.0,,apr_2020.csv,2020,4.0,India,Asia
26,S0197,Box8,2011,Mumbai,Foodtech,Enables to order food online,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park",4000000.0,,apr_2020.csv,2020,4.0,India,Asia
27,S0230,Capital Float,2013,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000.0,,apr_2020.csv,2020,4.0,India,Asia
28,S0678,ITILITE,2017,Bangalore,Travel & SaaS,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,apr_2020.csv,2020,4.0,India,Asia
29,S0024,Aavenir,2019,Ahmedabad,SaaS,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Seed round,apr_2020.csv,2020,4.0,India,Asia
30,S0126,BLive,2018,,Tourism & EV,"It offers experiential, guided tours on smart electric bikes","Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network,,Pre series A,apr_2020.csv,2020,4.0,,
31,S1611,Yellow Messenger,,Bangalore,AI,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,apr_2020.csv,2020,4.0,India,Asia
32,S1268,Setu,2018,,Fintech,"Offers open APIs across four categories: bills, savings, credit, and payments.","Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A,apr_2020.csv,2020,4.0,,
33,S1117,Power Gummies,2018,Delhi,Health,Offers health supplements related gummies,Divij Bajaj,Venture Catalysts,,,apr_2020.csv,2020,4.0,India,Asia
34,S1187,Rebel Foods,2011,,Food tech,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,50000000.0,,apr_2020.csv,2020,4.0,,
35,S0134,BankBazaar,2008,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,apr_2020.csv,2020,4.0,India,Asia
36,S1115,Porter,2014,Mumbai,Logistics,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,18370000.0,Series D,apr_2020.csv,2020,4.0,India,Asia
37,S1367,SugarBox,2016,Mumbai,Tech,Hyperlocal data distribution platform,Rohit Paranjpe,Zee Entertainment Enterprises Limited,68525000.0,,apr_2020.csv,2020,4.0,India,Asia
38,S0230,Capital Float,2013,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,apr_2020.csv,2020,4.0,India,Asia
39,S0058,Amica,2019,,Fintech,Neobanking startup,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital",2000000.0,,apr_2020.csv,2020,4.0,,
40,S1525,Vedantu,2011,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Series C,apr_2020.csv,2020,4.0,India,Asia
41,S0502,Fingerlix,2016,,Food,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,","Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000.0,,apr_2020.csv,2020,4.0,,
42,S1647,Zupee,2018,,Gaming,It runs live quiz tournaments on its app.,"Malhi, Siddhant Saurabh",Matrix Partners,8000000.0,Series A,apr_2020.csv,2020,4.0,,
43,S0833,Lido Learning,2019,Mumbai,Edtech,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series B,apr_2020.csv,2020,4.0,India,Asia
44,S0120,Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Undisclosed,23850000.0,,apr_2020.csv,2020,4.0,India,Asia
45,S1392,Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
46,S1640,Zomato,2008,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,Deepinder Goyal,Pacific Horizon,5000000.0,,apr_2020.csv,2020,4.0,India,Asia
47,S1174,RaRa Delivery,2017,,Logistics,Provides same day delivery service for e-commerce businesses,Karan Bhardwaj,"Der Shing Lim, 500 startups",800000.0,Seed Round,apr_2020.csv,2020,4.0,,
48,S1010,Obviously AI,2018,,Data Science,It provides predictive insights to clients by leveraging their data,"Tapojit Debnath, Nirman Dave",Arka Venture Labs,,,apr_2020.csv,2020,4.0,,
49,S0503,Fingpay,2016,Mumbai,Fintech,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,3500000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
50,S1189,Recko,2017,Bangalore,SaaS,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series A,apr_2020.csv,2020,4.0,India,Asia
51,S0550,Furlenco,2012,Bangalore,E-commerce,Furniture rental,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox",10000000.0,,apr_2020.csv,2020,4.0,India,Asia
52,S0902,Mera Cashier,2019,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,,apr_2020.csv,2020,4.0,India,Asia
53,S0775,Kitchens Centre,2019,Delhi,,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,Lakshay Jain,AngelList India,500000.0,Seed Round,apr_2020.csv,2020,4.0,India,Asia
54,S0226,Camp K12,2010,Gurugram,Edtech,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Seed Round,apr_2020.csv,2020,4.0,India,Asia
55,S0882,MedGenome,2013,Bangalore,Healthtech,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Series D,apr_2020.csv,2020,4.0,India,Asia
56,S0444,Ergos,2012,Bangalore,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4598000.0,,apr_2020.csv,2020,4.0,India,Asia
57,S1002,Nykaa,2012,Mumbai,E-commerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,13137000.0,,apr_2020.csv,2020,4.0,India,Asia
58,S1087,Phool.co,2017,Kanpur,Biomaterial,They use flowers from temples across India's and create useful products such as rose incense cone,Ankit Agarwal,Kaplan Foundation,1400000.0,Pre-series A,aug_2020.csv,2020,8.0,India,Asia
59,S0258,Chiratae Ventures,2018,Bangalore,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,"Vaishali Kulkarni, Arjun Singh Bajwa",,,Seed Funding,aug_2020.csv,2020,8.0,India,Asia
60,S0883,MedLife,2014,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.","Ananth Narayanan, T-ushar Kumar",Ivy Icon,6800000.0,,aug_2020.csv,2020,8.0,India,Asia
61,S0674,IDfy,2011,Mumbai,IT,IDfy provides risk and fraud solutions,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
62,S1467,True Balance,2014,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,"Cheolwon Lee, Jay Yi, Martin Lee",Balancehero,,Series C,aug_2020.csv,2020,8.0,India,Asia
63,S0170,Bira91,2015,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Ankur Jain,Anicut Capital,764000.0,,aug_2020.csv,2020,8.0,India,Asia
64,S0879,Max wholesale,2016,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,,aug_2020.csv,2020,8.0,India,Asia
65,S0308,Craftsvilla,2011,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories","Manoj Gupta, Monica Gupta",Supera Investments,409000.0,,aug_2020.csv,2020,8.0,India,Asia
66,S0881,MechMocha,2011,Bangalore,Entertainment,India's first vernacular social gaming platform,"Arpita Kapoor, Mohit Rangaraju, Shilp Gupta","Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
67,S0916,Mindhouse,2019,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",286000.0,,aug_2020.csv,2020,8.0,India,Asia
68,S0360,DeepSync,2018,Chandigarh,AI,"A revolutionary way to record your content, without you really speaking","Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,,aug_2020.csv,2020,8.0,India,Asia
69,S0445,Eruditus,2010,Mumbai,Education,Bring world-class business and professional education to a global audience,"Chaitanya Kalipatnapu, Ashwin Damera","Bertelsmann India Investments, Sequoia Capital India",,,aug_2020.csv,2020,8.0,India,Asia
70,S0605,Gradeup,2015,Noida,Education,"India's largest exam preparation destination,",Shobhit Bhatnagar,"Times Internet, TLabs",546000.0,,aug_2020.csv,2020,8.0,India,Asia
71,S1455,Tracxn,2013,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital",887000.0,Series B,aug_2020.csv,2020,8.0,India,Asia
72,S1150,Purple Style Labs,2015,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.",43000.0,,aug_2020.csv,2020,8.0,India,Asia
73,S1132,ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Pramod Ravindra,Nestavera Ventures.,40900.0,,aug_2020.csv,2020,8.0,India,Asia
74,S0525,Flickstree,2014,Mumbai,Tech,World's largest video publisher,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts",40900.0,,aug_2020.csv,2020,8.0,India,Asia
75,S1265,Settl,2015,Gurugram,TravelTech,Get affordable AC bus-rides everyday,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",,,aug_2020.csv,2020,8.0,India,Asia
76,S0487,Fanspole,2015,Thane,Entertainment,India's only social fantasy gaming platform,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",,Pre-Seed,aug_2020.csv,2020,8.0,India,Asia
77,S1251,Sarva,2016,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",,,aug_2020.csv,2020,8.0,India,Asia
78,S1496,Univ.ai,2019,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,,,aug_2020.csv,2020,8.0,India,Asia
79,S1149,PurohitJi,2018,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,,,aug_2020.csv,2020,8.0,India,Asia
80,S0325,CredoLab,2015,Singapore,Tech,AI credit scoring platform,Peter Barcak,"GB Group, Walden International",7000000.0,Series A,aug_2020.csv,2020,8.0,Singapore,Asia
81,S0202,Brick&Bolt,2018,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka",2200000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
82,S0612,Grinntech,2013,Chennai,Battery manufacturer,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",2000000.0,,aug_2020.csv,2020,8.0,India,Asia
83,S0010,6Degree,2014,Mumbai,Fashion,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",340000.0,,aug_2020.csv,2020,8.0,India,Asia
84,S0463,Exprs,2018,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",5660000.0,,aug_2020.csv,2020,8.0,,
85,S0162,Bikayi,2019,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,2000000.0,Seed round,aug_2020.csv,2020,8.0,,Asia
86,S1542,Virtual Forest,2019,Bangalore,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,,,aug_2020.csv,2020,8.0,India,Asia
87,S1428,The Health company,2018,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,,aug_2020.csv,2020,8.0,India,Asia
88,S1474,TrulyMadly Matchmakers,2014,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A,aug_2020.csv,2020,8.0,India,Asia
89,S1470,TrueFan,2020,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed Round,aug_2020.csv,2020,8.0,India,Asia
90,S0487,Fanspole,2015,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,,Pre-seed Round,aug_2020.csv,2020,8.0,India,Asia
91,S0215,Byju's,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,DST Global,122000000.0,,aug_2020.csv,2020,8.0,India,Asia
92,S0104,Avail Finance,2017,Bangalore,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",11635000.0,Series B,aug_2020.csv,2020,8.0,India,Asia
93,S1431,The Money Club,2016,Delhi,AI,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,,,aug_2020.csv,2020,8.0,India,Asia
94,S1541,Virohan,2018,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",2800000.0,Seed Round & Series A,aug_2020.csv,2020,8.0,India,Asia
95,S1025,OneCode,2019,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,,Seed Round,aug_2020.csv,2020,8.0,India,Asia
96,S1535,Verloop.io,2015,,AI,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,5000000.0,,aug_2020.csv,2020,8.0,,
97,S1036,Otipy,2020,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khurana,Inflection Point Ventures,1000000.0,Pre Series A,aug_2020.csv,2020,8.0,,
98,S0453,Evage,2014,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,,,aug_2020.csv,2020,8.0,India,Asia
99,S0803,LEAD School,2012,Mumbai,Edtech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000.0,Series C,aug_2020.csv,2020,8.0,India,Asia
100,S1460,Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
101,S0232,Captain Fresh,2019,Bangalore,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,2300000.0,Pre Series A,aug_2020.csv,2020,8.0,India,Asia
102,S1414,Teachmint,2020,Bangalore,Edtech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,,,aug_2020.csv,2020,8.0,India,Asia
103,S1097,Pixxel,2019,Bangalore,SpaceTech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed Round,aug_2020.csv,2020,8.0,India,Asia
104,S0623,Habbit Health,2019,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",,Pre seed Round,aug_2020.csv,2020,8.0,India,Asia
105,S1314,SmarterBiz,2014,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre series A,aug_2020.csv,2020,8.0,India,Asia
106,S0025,Able Jobs,2019,Bangalore,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,,aug_2020.csv,2020,8.0,India,Asia
107,S1539,Vieroots,2018,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,,,aug_2020.csv,2020,8.0,India,Asia
108,S1347,Stack Finance,2019,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",,Seed Round,aug_2020.csv,2020,8.0,India,Asia
109,S0471,FPL Technologies,2019,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
110,S0874,Masai School,2019,Bangalore,Edtech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India",2500000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
111,S0920,Mitron,2020,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,5000000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
112,S0347,Daalchini,2017,,IoT,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000.0,Pre series A,aug_2020.csv,2020,8.0,,
113,S1369,Suno India,2018,,Media,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,,Angel Round,aug_2020.csv,2020,8.0,,
114,S0824,LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",16076000.0,Series D,aug_2020.csv,2020,8.0,India,Asia
115,S1423,Text Mercato,2015,Bangalore,,Cataloguing startup that serves e-commerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A,aug_2020.csv,2020,8.0,India,Asia
116,S0415,Eden Smart Homes,2018,,IoT,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,,,aug_2020.csv,2020,8.0,,
117,S0608,GrayQuest,2017,Mumbai,Edtech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,1000000.0,Pre series A,aug_2020.csv,2020,8.0,India,Asia
118,S0157,BigHaat,2015,Bangalore,Agritech,Agri-inputs e-commerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",2000000.0,Pre series A,aug_2020.csv,2020,8.0,India,Asia
119,S0263,CityCash,2017,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,1000000.0,Seed Round,aug_2020.csv,2020,8.0,India,Asia
120,S0655,HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,aug_2020.csv,2020,8.0,India,Asia
121,S0667,HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,6700000.0,Series C,aug_2020.csv,2020,8.0,India,Asia
122,S0352,DaveAI,2016,Bangalore,AI,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,,,aug_2020.csv,2020,8.0,India,Asia
123,S0420,Eduvanz,2016,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,5000000.0,Series A,aug_2020.csv,2020,8.0,India,Asia
124,S1636,ZipLoan,2015,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,2000000.0,,aug_2020.csv,2020,8.0,India,Asia
125,S0379,DocSumo,2019,Mumbai,AI,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000.0,Seed Round,aug_2020.csv,2020,8.0,India,Asia
126,S0222,CUSMAT,2016,Warangal,AR/VR,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",,,aug_2020.csv,2020,8.0,India,Asia
